college_name,address,year,organization_type,size,area,graduation_rate,financial_aid,sat_score
Kutztown University of Pennsylvania,"Kutztown, PA",4-year,Public,Medium,Rural,56%,$21K,1070-1250
Mercy University,"Dobbs Ferry, NY",4-year,Private,Medium,Suburban,46%,$16K,1020-1230
Central College,"Pella, IA",4-year,Private,Small,Rural,71%,$23K,938-1258
Southern Connecticut State University,"New Haven, CT",4-year,Public,Medium,Suburban,53%,$19K,870-1100
King University,"Bristol, TN",4-year,Private,Small,Suburban,47%,$23K,1008-1163
University of Massachusetts Dartmouth,"North Dartmouth, MA",4-year,Public,Medium,Suburban,55%,$20K,1060-1240
University of Wisconsin-Superior,"Superior, WI",4-year,Public,Small,Suburban,40%,$13K,1040-1255
Lincoln University,"Lincoln University, PA",4-year,Public,Small,Rural,45%,$16K,880-1045
University of Massachusetts Lowell,"Lowell, MA",4-year,Public,Large,Urban,71%,$17K,1190-1320
Purdue University Fort Wayne,"Fort Wayne, IN",4-year,Public,Medium,Urban,35%,$12K,1000-1210
Brigham Young University-Idaho,"Rexburg, ID",4-year,Private,Unknown,Rural,49%,$8K,Unknown
Anne Arundel Community College,"Arnold, MD",2-year,Public,Medium,Suburban,Unknown,$14K,Unknown
Wichita State University,"Wichita, KS",4-year,Public,Large,Urban,51%,$14K,913-1240
Illinois State University,"Normal, IL",4-year,Public,Very Large,Suburban,67%,$21K,1030-1220
Old Dominion University,"Norfolk, VA",4-year,Public,Very Large,Urban,48%,$16K,1120-1270
Ohio State University: Marion Campus,"Marion, OH",4-year,Public,Small,Urban,7%,$13K,1040-1230
Eureka College,"Eureka, IL",4-year,Private,Small,Rural,51%,$19K,950-1170
City University of New York: College of Staten Island,"Staten Island, NY",4-year,Public,Large,Urban,51%,$7K,Unknown
Northwest University,"Kirkland, WA",4-year,Private,Small,Suburban,68%,$24K,1100-1345
Dominican University,"River Forest, IL",4-year,Private,Small,Suburban,59%,$18K,950-1140
Loyola University New Orleans,"New Orleans, LA",4-year,Private,Small,Urban,67%,$24K,1030-1230
Western Washington University,"Bellingham, WA",4-year,Public,Large,Suburban,65%,$21K,1130-1320
Criswell College,"Dallas, TX",4-year,Private,Small,Urban,70%,$14K,Unknown
SUNY Buffalo State University,"Buffalo, NY",4-year,Public,Medium,Urban,36%,$14K,960-1170
Conservatory of Music of Puerto Rico,"San Juan, PR",4-year,Public,Small,Urban,74%,$7K,Unknown
Metropolitan State University of Denver,"Denver, CO",4-year,Public,Very Large,Urban,29%,$15K,870-1090
La Salle University,"Philadelphia, PA",4-year,Private,Medium,Urban,65%,$18K,1000-1190
Bet Medrash Gadol Ateret Torah,"Brooklyn, NY",4-year,Private,Unknown,Urban,38%,$4K,Unknown
North Central University,"Minneapolis, MN",4-year,Private,Small,Urban,58%,$23K,910-1180
Kansas State University,"Manhattan, KS",4-year,Public,Very Large,Suburban,69%,$19K,1060-1255
Ohio State University: Newark Campus,"Newark, OH",4-year,Public,Small,Suburban,5%,$15K,960-1170
Shawnee State University,"Portsmouth, OH",4-year,Public,Small,Suburban,48%,$13K,910-1150
University of Northwestern - St. Paul,"Saint Paul, MN",4-year,Private,Small,Suburban,70%,$26K,965-1300
Shippensburg University of Pennsylvania,"Shippensburg, PA",4-year,Public,Medium,Rural,50%,$21K,940-1140
St. Mary-of-the-Woods College,"Saint Mary Of The Woods, IN",4-year,Private,Small,Rural,52%,$17K,889-1033
Eastern Michigan University,"Ypsilanti, MI",4-year,Public,Large,Urban,45%,$16K,930-1150
Kent State University: Ashtabula,"Ashtabula, OH",4-year,Public,Small,Rural,1%,$11K,840-870
Kent State University: Trumbull,"Warren, OH",4-year,Public,Small,Suburban,Unknown,$10K,Unknown
Wayne State University,"Detroit, MI",4-year,Public,Very Large,Urban,60%,$15K,1060-1260
Roosevelt University,"Chicago, IL",4-year,Private,Small,Urban,43%,$22K,870-1080
University of Northern Colorado,"Greeley, CO",4-year,Public,Medium,Suburban,52%,$18K,970-1170
Bismarck State College,"Bismarck, ND",4-year,Public,Small,Urban,Unknown,$11K,Unknown
Mary Baldwin University,"Staunton, VA",4-year,Private,Small,Suburban,45%,$19K,810-1110
St. Thomas University,"Opa Locka, FL",4-year,Private,Small,Suburban,43%,$26K,862-1077
Coastal Carolina University,"Conway, SC",4-year,Public,Large,Suburban,48%,$14K,1050-1200
Waynesburg University,"Waynesburg, PA",4-year,Private,Small,Rural,60%,$22K,1000-1250
State University Of New York At Oswego,"Oswego, NY",4-year,Public,Medium,Suburban,64%,$17K,1080-1250
SUNY Polytechnic Institute,"Utica, NY",4-year,Public,Small,Suburban,62%,$14K,1160-1330
Guilford College,"Greensboro, NC",4-year,Private,Small,Suburban,49%,$24K,960-1170
Eastern Illinois University,"Charleston, IL",4-year,Public,Medium,Rural,55%,$13K,920-1140
Michigan Technological University,"Houghton, MI",4-year,Public,Medium,Rural,68%,$18K,1140-1340
La Sierra University,"Riverside, CA",4-year,Private,Small,Suburban,54%,$25K,880-1130
University of Iowa,"Iowa City, IA",4-year,Public,Very Large,Urban,74%,$20K,1140-1313
Winston-Salem State University,"Winston Salem, NC",4-year,Public,Medium,Urban,50%,$14K,920-1020
VanderCook College of Music,"Chicago, IL",4-year,Private,Small,Urban,57%,$12K,Unknown
Michigan State University,"East Lansing, MI",4-year,Public,Very Large,Suburban,82%,$23K,1100-1310
University of Minnesota: Twin Cities,"Minneapolis, MN",4-year,Public,Very Large,Urban,84%,$16K,1320-1470
Hallmark University,"San Antonio, TX",4-year,Private,Small,Urban,60%,$12K,Unknown
Maryville University of Saint Louis,"Saint Louis, MO",4-year,Private,Medium,Suburban,67%,$27K,960-1150
Georgia College and State University,"Milledgeville, GA",4-year,Public,Medium,Rural,62%,$20K,1080-1240
Husson University,"Bangor, ME",4-year,Private,Small,Suburban,60%,$20K,1038-1183
St Josephs University New York - Long Island Campus,"Patchogue, NY",4-year,Private,Small,Suburban,72%,$18K,1085-1248
Minot State University,"Minot, ND",4-year,Public,Small,Suburban,45%,$12K,960-1130
California State University: Northridge,"Northridge, CA",4-year,Public,Very Large,Urban,56%,$9K,Unknown
Canisius University,"Buffalo, NY",4-year,Private,Small,Urban,66%,$20K,1040-1220
Salisbury University,"Salisbury, MD",4-year,Public,Medium,Urban,69%,$20K,1200-1300
University of Memphis,"Memphis, TN",4-year,Public,Large,Urban,48%,$14K,930-1150
Navajo Technical University,"Crownpoint, NM",4-year,Public,Small,Rural,11%,$3K,Unknown
Louisiana Christian University,"Pineville, LA",4-year,Private,Small,Suburban,32%,$15K,960-1140
McNeese State University,"Lake Charles, LA",4-year,Public,Medium,Suburban,45%,$10K,990-1190
Baker College,"Owosso, MI",4-year,Private,Medium,Suburban,16%,$14K,940-1160
Huntington University,"Huntington, IN",4-year,Private,Unknown,Rural,69%,$20K,980-1130
Slippery Rock University of Pennsylvania,"Slippery Rock, PA",4-year,Public,Medium,Rural,66%,$18K,990-1170
Shasta Bible College and Graduate School,"Redding, CA",4-year,Private,Unknown,Rural,50%,$11K,Unknown
Trine University,"Angola, IN",4-year,Private,Small,Rural,65%,$24K,1030-1240
St. Thomas Aquinas College,"Sparkill, NY",4-year,Private,Small,Suburban,52%,$22K,960-1250
James Madison University,"Harrisonburg, VA",4-year,Public,Very Large,Rural,81%,$18K,1180-1310
University of Louisville,"Louisville, KY",4-year,Public,Large,Urban,62%,$19K,1010-1220
Concordia University,"Seward, NE",4-year,Private,Small,Rural,59%,$23K,1010-1220
Western Michigan University,"Kalamazoo, MI",4-year,Public,Large,Urban,55%,$20K,990-1210
Oklahoma State University,"Stillwater, OK",4-year,Public,Very Large,Suburban,65%,$17K,1040-1140
University of North Texas,"Denton, TX",4-year,Public,Very Large,Suburban,59%,$15K,990-1220
Martin Luther College,"New Ulm, MN",4-year,Private,Small,Rural,74%,$22K,1118-1243
Mississippi State University,"Mississippi State, MS",4-year,Public,Very Large,Rural,63%,$15K,1105-1405
Millersville University of Pennsylvania,"Millersville, PA",4-year,Public,Medium,Suburban,57%,$21K,1050-1210
Eastern Kentucky University,"Richmond, KY",4-year,Public,Large,Rural,54%,$11K,990-1160
Central Connecticut State University,"New Britain, CT",4-year,Public,Medium,Suburban,53%,$17K,925-1140
University of Cincinnati,"Cincinnati, OH",4-year,Public,Very Large,Urban,72%,$20K,1160-1350
Christopher Newport University,"Newport News, VA",4-year,Public,Medium,Suburban,76%,$23K,1120-1290
Webster University,"Saint Louis, MO",4-year,Private,Small,Suburban,59%,$23K,1120-1245
Geneva College,"Beaver Falls, PA",4-year,Private,Small,Suburban,69%,$21K,1020-1233
La Roche University,"Pittsburgh, PA",4-year,Private,Small,Suburban,55%,$24K,1055-1235
Ohio State University: Mansfield Campus,"Mansfield, OH",4-year,Public,Small,Suburban,7%,$16K,1013-1188
Millikin University,"Decatur, IL",4-year,Private,Small,Suburban,58%,$10K,860-1170
Ohio University,"Athens, OH",4-year,Public,Very Large,Rural,65%,$20K,1100-1280
Colorado Mesa University,"Grand Junction, CO",4-year,Public,Medium,Suburban,45%,$15K,940-1160
Mount Vernon Nazarene University,"Mount Vernon, OH",4-year,Private,Small,Suburban,68%,$23K,990-1210
Winthrop University,"Rock Hill, SC",4-year,Public,Medium,Suburban,61%,$17K,1010-1210
St. Mary's University,"San Antonio, TX",4-year,Private,Small,Urban,56%,$21K,1040-1210
Middle Tennessee State University,"Murfreesboro, TN",4-year,Public,Very Large,Urban,55%,$13K,1010-1220
George C. Wallace Community College at Dothan,"Dothan, AL",2-year,Public,Small,Rural,Unknown,$1K,Unknown
Wilson College,"Chambersburg, PA",4-year,Private,Small,Rural,50%,$24K,970-1120
Salem College,"Winston Salem, NC",4-year,Private,Small,Urban,62%,$18K,1083-1315
Heidelberg University,"Tiffin, OH",4-year,Private,Small,Rural,54%,$20K,1030-1185
University of Pikeville,"Pikeville, KY",4-year,Private,Small,Rural,36%,$17K,780-1160
Doane University,"Crete, NE",4-year,Private,Small,Rural,61%,$24K,998-1170
Weber State University,"Ogden, UT",4-year,Public,Very Large,Urban,41%,$11K,Unknown
University of North Georgia,"Dahlonega, GA",4-year,Public,Very Large,Suburban,52%,$12K,1040-1220
Barton College,"Wilson, NC",4-year,Private,Small,Suburban,48%,$23K,970-1150
University of Minnesota: Duluth,"Duluth, MN",4-year,Public,Medium,Suburban,62%,$18K,1130-1300
North Carolina Agricultural And Technical State University,"Greensboro, NC",4-year,Public,Large,Urban,57%,$9K,970-1140
Hardin-Simmons University,"Abilene, TX",4-year,Private,Small,Urban,58%,$23K,988-1180
Calvin University,"Grand Rapids, MI",4-year,Private,Small,Suburban,77%,$26K,1130-1330
University of Akron,"Akron, OH",4-year,Public,Large,Urban,52%,$15K,960-1190
Framingham State University,"Framingham, MA",4-year,Public,Small,Suburban,55%,$18K,1120-1270
Azusa Pacific University,"Azusa, CA",4-year,Private,Medium,Suburban,61%,$27K,980-1270
Calvary University,"Kansas City, MO",4-year,Private,Small,Suburban,60%,$15K,Unknown
University of Massachusetts Boston,"Dorchester, MA",4-year,Public,Large,Urban,51%,$17K,1090-1290
Northeastern State University,"Tahlequah, OK",4-year,Public,Medium,Rural,38%,$10K,Unknown
College of St. Benedict,"Saint Joseph, MN",4-year,Private,Small,Suburban,78%,$29K,940-1210
Bethel College,"North Newton, KS",4-year,Private,Small,Suburban,44%,$25K,950-1160
Bellarmine University,"Louisville, KY",4-year,Private,Small,Suburban,60%,$23K,1030-1225
University of Louisiana at Monroe,"Monroe, LA",4-year,Public,Medium,Urban,50%,$11K,1070-1260
University of Oregon,"Eugene, OR",4-year,Public,Very Large,Urban,73%,$22K,1150-1340
University of West Florida,"Pensacola, FL",4-year,Public,Large,Suburban,53%,$9K,990-1180
Midway University,"Midway, KY",4-year,Private,Small,Rural,48%,$23K,1050-1100
LeMoyne Owen College,"Memphis, TN",4-year,Private,Unknown,Urban,20%,$6K,Unknown
Otterbein University,"Westerville, OH",4-year,Private,Small,Suburban,70%,$23K,1040-1258
Fairmont State University,"Fairmont, WV",4-year,Public,Unknown,Suburban,44%,$11K,Unknown
Cheyney University of Pennsylvania,"Cheyney, PA",4-year,Public,Small,Rural,15%,$12K,830-1070
Saint Mary's University Of Minnesota,"Winona, MN",4-year,Private,Small,Rural,65%,$23K,1108-1165
Missouri University of Science and Technology,"Rolla, MO",4-year,Public,Medium,Rural,62%,$14K,1160-1350
North Carolina Wesleyan University,"Rocky Mount, NC",4-year,Private,Small,Suburban,38%,$19K,860-1120
Cameron University,"Lawton, OK",4-year,Public,Small,Suburban,34%,$10K,Unknown
Grace Christian University,"Wyoming, MI",4-year,Private,Unknown,Suburban,49%,$13K,Unknown
Gallaudet University,"Washington, DC",4-year,Private,Small,Urban,44%,$14K,770-893
Trevecca Nazarene University,"Nashville, TN",4-year,Private,Small,Urban,61%,$16K,988-1193
Houghton University,"Houghton, NY",4-year,Private,Small,Rural,61%,$22K,1210-1380
University of New Hampshire,"Durham, NH",4-year,Public,Large,Suburban,78%,$25K,1130-1310
West Virginia University Institute of Technology,"Beckley, WV",4-year,Public,Unknown,Rural,34%,$10K,940-1130
University of Nevada: Reno,"Reno, NV",4-year,Public,Very Large,Urban,62%,$17K,1070-1270
Florida International University,"Miami, FL",4-year,Public,Very Large,Urban,69%,$10K,1070-1250
Bowling Green State University,"Bowling Green, OH",4-year,Public,Large,Rural,60%,$20K,1020-1230
Miami University: Oxford,"Oxford, OH",4-year,Public,Very Large,Rural,81%,$23K,1130-1330
Louisiana Tech University,"Ruston, LA",4-year,Public,Medium,Rural,60%,$12K,1060-1260
Ohio State University Agricultural Technical Institute,"Wooster, OH",2-year,Public,Small,Suburban,Unknown,$18K,Unknown
Franklin Pierce University,"Rindge, NH",4-year,Private,Small,Rural,52%,$28K,950-1190
Washburn University,"Topeka, KS",4-year,Public,Medium,Urban,45%,$12K,Unknown
Southern States University San Diego,"San Diego, CA",4-year,Private,Unknown,Urban,Unknown,$3K,Unknown
SUNY Fredonia,"Fredonia, NY",4-year,Public,Small,Rural,60%,$16K,1180-1360
Brigham Young University,"Provo, UT",4-year,Private,Very Large,Suburban,79%,$14K,1290-1440
Georgetown College,"Georgetown, KY",4-year,Private,Small,Suburban,46%,$15K,960-1160
Lake Superior State University,"Sault Sainte Marie, MI",4-year,Public,Small,Suburban,49%,$14K,950-1140
University of St. Mary,"Leavenworth, KS",4-year,Private,Small,Suburban,39%,$22K,890-1005
University of Mary Washington,"Fredericksburg, VA",4-year,Public,Medium,Suburban,69%,$22K,1160-1320
University of North Dakota,"Grand Forks, ND",4-year,Public,Large,Urban,63%,$17K,1130-1270
Mercyhurst University,"Erie, PA",4-year,Private,Small,Suburban,68%,$25K,1060-1250
Eastern Connecticut State University,"Willimantic, CT",4-year,Public,Medium,Suburban,60%,$19K,990-1190
Ashland University,"Ashland, OH",4-year,Private,Small,Rural,60%,$20K,1050-1280
Fayetteville Technical Community College,"Fayetteville, NC",2-year,Public,Large,Urban,Unknown,$3K,Unknown
Virginia Military Institute,"Lexington, VA",4-year,Public,Small,Rural,77%,$18K,1120-1270
Brewton-Parker College,"Mount Vernon, GA",4-year,Private,Small,Rural,19%,$22K,880-1050
SUNY College at Brockport,"Brockport, NY",4-year,Public,Medium,Suburban,63%,$16K,1070-1230
Pontifical Catholic University of Puerto Rico,"Ponce, PR",4-year,Private,Unknown,Urban,43%,$10K,Unknown
Westminster College,"New Wilmington, PA",4-year,Private,Small,Rural,62%,$23K,1070-1298
Wayne State College,"Wayne, NE",4-year,Public,Small,Rural,51%,$14K,Unknown
Ramapo College of New Jersey,"Mahwah, NJ",4-year,Public,Medium,Suburban,70%,$16K,1140-1270
Missouri Western State University,"Saint Joseph, MO",4-year,Public,Small,Suburban,42%,$12K,Unknown
Tallahassee State College,"Tallahassee, FL",2-year,Public,Large,Suburban,Unknown,$3K,Unknown
University Of Puerto Rico At Bayamon,"Bayamon, PR",4-year,Public,Unknown,Suburban,34%,$8K,Unknown
Walsh University,"North Canton, OH",4-year,Private,Small,Suburban,58%,$20K,978-1070
Houston Christian University,"Houston, TX",4-year,Private,Small,Suburban,49%,$20K,1050-1220
Liberty University,"Lynchburg, VA",4-year,Private,Very Large,Suburban,67%,$30K,1060-1300
Elms College,"Chicopee, MA",4-year,Private,Small,Suburban,75%,$23K,1150-1320
University of North Texas at Dallas,"Dallas, TX",4-year,Public,Unknown,Suburban,44%,$10K,Unknown
University of Houston,"Houston, TX",4-year,Public,Very Large,Urban,63%,$14K,1160-1320
Goldey-Beacom College,"Wilmington, DE",4-year,Private,Small,Suburban,59%,$13K,860-1070
University of Missouri: Kansas City,"Kansas City, MO",4-year,Public,Medium,Urban,55%,$15K,1150-1530
Newberry College,"Newberry, SC",4-year,Private,Small,Suburban,49%,$19K,928-1100
University Of Connecticut Stamford,"Stamford, CT",4-year,Public,Unknown,Urban,64%,$14K,Unknown
SUNY Oneonta,"Oneonta, NY",4-year,Public,Medium,Rural,75%,$18K,1100-1260
Lincoln University,"Jefferson City, MO",4-year,Public,Small,Suburban,30%,$11K,798-1025
University of Maryland: Eastern Shore,"Princess Anne, MD",4-year,Public,Small,Rural,37%,$12K,850-1010
University of Southern Mississippi,"Hattiesburg, MS",4-year,Public,Large,Suburban,52%,$14K,Unknown
University of Alabama,"Tuscaloosa, AL",4-year,Public,Very Large,Suburban,73%,$21K,1110-1360
George Fox University,"Newberg, OR",4-year,Private,Small,Rural,71%,$29K,1060-1330
Pima Community College,"Tucson, AZ",2-year,Public,Large,Urban,Unknown,$4K,Unknown
University of Alaska Fairbanks,"Fairbanks, AK",4-year,Public,Medium,Suburban,41%,$9K,1085-1280
University of Hawaii: West Oahu,"Kapolei, HI",4-year,Public,Small,Suburban,33%,$9K,Unknown
Northwood University: Michigan,"Midland, MI",4-year,Private,Small,Suburban,63%,$25K,980-1160
Lewis University,"Romeoville, IL",4-year,Private,Medium,Suburban,62%,$19K,960-1200
University Of Tennessee Southern,"Pulaski, TN",4-year,Private,Small,Rural,29%,$17K,980-1135
SUNY College at Plattsburgh,"Plattsburgh, NY",4-year,Public,Medium,Suburban,65%,$18K,1040-1260
Nicholls State University,"Thibodaux, LA",4-year,Public,Medium,Rural,45%,$12K,Unknown
St. Ambrose University,"Davenport, IA",4-year,Private,Small,Urban,64%,$23K,920-1170
Randolph-Macon College,"Ashland, VA",4-year,Private,Small,Suburban,74%,$28K,990-1215
Gannon University,"Erie, PA",4-year,Private,Small,Urban,70%,$22K,1030-1260
Gwynedd Mercy University,"Gwynedd Valley, PA",4-year,Private,Small,Suburban,66%,$28K,1060-1170
University of Minnesota: Rochester,"Rochester, MN",4-year,Public,Small,Urban,59%,$13K,1248-1435
